               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053723,            0.021009,             0.08713,             0.79833,             0.10422,            0.090408,            0.061433,            0.032648,           0.0049731,            0.071978,            0.070052,           0.0033275,           0.0033275
                   1,            0.042034,            0.016297,            0.061891,             0.71453,             0.17386,             0.17621,             0.12148,            0.037105,           0.0056563,            0.060771,            0.039832,           0.0064411,           0.0064411
                   2,            0.043371,            0.016909,            0.055956,             0.59576,             0.14006,            0.097453,            0.054778,            0.045888,           0.0077415,            0.076797,           0.0093925,           0.0093346,           0.0093346
                   3,            0.047202,             0.01911,            0.059596,             0.51809,             0.19047,             0.14705,            0.085399,            0.040264,           0.0069673,            0.061467,             0.00901,             0.00901,             0.00901
                   4,            0.044863,            0.018734,            0.056295,             0.62321,             0.19891,             0.20154,             0.12368,            0.041126,            0.006564,            0.056384,             0.00901,             0.00901,             0.00901
                   5,            0.042718,            0.018565,            0.053262,              0.5317,             0.24727,             0.20949,             0.13392,             0.03726,           0.0069892,             0.05689,             0.00868,             0.00868,             0.00868
                   6,            0.041063,            0.017732,            0.049504,             0.53959,             0.27021,              0.2484,             0.16371,            0.034568,           0.0063836,             0.04943,             0.00835,             0.00835,             0.00835
                   7,            0.039992,            0.017353,            0.045732,              0.5088,             0.27856,              0.2639,             0.17554,            0.035261,            0.006104,            0.051277,             0.00802,             0.00802,             0.00802
                   8,            0.038379,            0.016966,            0.044921,             0.47783,             0.33032,             0.29461,             0.19742,            0.033502,           0.0060654,            0.049193,             0.00769,             0.00769,             0.00769
                   9,            0.037865,             0.01678,            0.041137,             0.50703,             0.33185,             0.31866,             0.22355,            0.031441,           0.0060227,            0.044856,             0.00736,             0.00736,             0.00736
                  10,            0.037129,            0.016655,            0.039382,             0.44467,             0.37975,             0.34852,             0.24702,            0.029516,           0.0059266,            0.043495,             0.00703,             0.00703,             0.00703
                  11,            0.036554,            0.016457,             0.03736,             0.49765,             0.40297,              0.3773,             0.27453,            0.029152,           0.0059001,            0.042423,              0.0067,              0.0067,              0.0067
                  12,            0.035814,            0.015977,            0.036832,             0.48804,             0.44139,             0.41251,             0.30279,            0.027965,           0.0055921,            0.039731,             0.00637,             0.00637,             0.00637
                  13,            0.035479,            0.015939,            0.033858,             0.49944,             0.43966,             0.41989,             0.31248,            0.028668,            0.005662,            0.039332,             0.00604,             0.00604,             0.00604
                  14,            0.034611,            0.015451,            0.033838,              0.5376,             0.44845,             0.44172,             0.33064,              0.0275,           0.0056347,            0.036536,             0.00571,             0.00571,             0.00571
                  15,            0.033493,            0.015553,            0.032449,             0.54711,             0.43366,             0.43791,             0.33053,             0.02711,           0.0058507,            0.038014,             0.00538,             0.00538,             0.00538
                  16,              0.0332,            0.015265,            0.030883,             0.56868,             0.47012,             0.48064,             0.36954,             0.02605,           0.0055897,            0.036167,             0.00505,             0.00505,             0.00505
                  17,            0.032581,            0.015002,              0.0292,             0.54858,             0.50882,             0.50949,             0.39182,            0.025536,           0.0054986,            0.034885,             0.00472,             0.00472,             0.00472
                  18,            0.032167,            0.014764,            0.028396,              0.5832,             0.49245,             0.51211,              0.4027,            0.025149,           0.0060963,            0.033731,             0.00439,             0.00439,             0.00439
                  19,            0.031674,            0.014822,             0.02671,             0.58112,              0.4933,             0.52045,             0.41241,            0.024313,           0.0055332,            0.033662,             0.00406,             0.00406,             0.00406
                  20,            0.030906,            0.014565,            0.025874,             0.59772,             0.52735,              0.5397,             0.43037,            0.023994,           0.0055141,            0.032367,             0.00373,             0.00373,             0.00373
                  21,            0.030493,            0.014351,            0.025061,             0.58271,             0.54259,             0.55507,             0.44299,            0.023583,           0.0055416,            0.031895,              0.0034,              0.0034,              0.0034
                  22,            0.029874,            0.014334,            0.024101,             0.53277,             0.57853,               0.558,             0.45033,            0.023497,           0.0056945,             0.03091,             0.00307,             0.00307,             0.00307
                  23,            0.029185,            0.014029,            0.022562,             0.58323,             0.55788,             0.56925,              0.4589,            0.022505,             0.00567,            0.031323,             0.00274,             0.00274,             0.00274
                  24,             0.02792,            0.013944,            0.022009,             0.58025,             0.57459,             0.58282,             0.47197,             0.02234,           0.0052686,            0.030977,             0.00241,             0.00241,             0.00241
                  25,            0.027659,            0.013657,             0.02045,             0.58905,             0.60822,             0.59343,             0.48701,            0.022132,           0.0055482,            0.029498,             0.00208,             0.00208,             0.00208
                  26,            0.027285,            0.013626,            0.019969,             0.59126,             0.59094,             0.59393,             0.48783,            0.021883,           0.0055446,             0.02918,             0.00175,             0.00175,             0.00175
                  27,            0.026121,            0.013282,            0.019058,             0.58512,             0.61852,             0.60794,             0.50092,            0.022103,           0.0056821,            0.029733,             0.00142,             0.00142,             0.00142
                  28,            0.025901,            0.013244,            0.018292,             0.58667,             0.61858,             0.60527,             0.50008,            0.021782,           0.0054635,            0.029496,             0.00109,             0.00109,             0.00109
                  29,            0.024916,            0.013099,            0.017734,              0.5823,             0.63635,              0.6083,             0.50515,            0.021632,           0.0054491,             0.02965,             0.00076,             0.00076,             0.00076
