                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96045,                 4.2322,                 1.4124,                0.53158,                0.12393,                0.07747,                0.05113,                 1.0492,                 3.3946,                 1.5894,              0.0033275,              0.0033275,              0.0033275
                      2,                  1.058,                 3.3009,                 1.4693,                 0.3683,                0.16578,                0.10221,                0.06522,                 1.2249,                 3.2153,                 1.8579,               0.006529,               0.006529,               0.006529
                      3,                 1.1343,                 3.1452,                 1.5095,                0.33661,                0.18831,                0.10074,                0.05787,                 1.3855,                 3.2962,                  2.103,              0.0095984,              0.0095984,              0.0095984
                      4,                 1.1944,                 3.0586,                 1.5484,                0.34207,                0.12245,                0.08091,                 0.0483,                 1.4017,                 3.5431,                 2.0194,               0.009406,               0.009406,               0.009406
                      5,                  1.151,                 2.6886,                 1.5057,                0.46786,                0.15599,                0.12643,                 0.0802,                 1.3501,                 3.3123,                 1.9548,               0.009406,               0.009406,               0.009406
                      6,                 1.1163,                  2.446,                 1.4747,                0.39828,                 0.2962,                0.25081,                0.16082,                  1.244,                 2.4957,                 1.7769,               0.009208,               0.009208,               0.009208
                      7,                 1.0894,                  2.266,                 1.4508,                0.40383,                0.29512,                0.25498,                0.16608,                 1.2213,                 2.5274,                 1.7671,                0.00901,                0.00901,                0.00901
                      8,                 1.0685,                  2.154,                 1.4352,                0.46336,                0.35298,                0.32518,                0.22301,                 1.1217,                  2.231,                  1.646,               0.008812,               0.008812,               0.008812
                      9,                 1.0491,                  2.071,                 1.4252,                0.44395,                0.36422,                0.34766,                 0.2374,                 1.1172,                 2.1123,                 1.6338,               0.008614,               0.008614,               0.008614
                     10,                 1.0307,                 1.9949,                 1.4083,                 0.3814,                0.37138,                0.31612,                0.21972,                 1.1115,                 2.1259,                 1.6766,               0.008416,               0.008416,               0.008416
                     11,                 1.0216,                 1.9154,                 1.3939,                0.46291,                0.41261,                    0.4,                0.28299,                 1.0454,                 1.9159,                 1.5603,               0.008218,               0.008218,               0.008218
                     12,                 1.0053,                 1.8587,                 1.3864,                0.46221,                0.38145,                0.35622,                0.24643,                  1.095,                 2.0055,                 1.6482,                0.00802,                0.00802,                0.00802
                     13,                 1.0011,                 1.8195,                 1.3821,                0.50367,                0.42709,                0.43013,                0.31362,                0.99799,                 1.8492,                 1.4925,               0.007822,               0.007822,               0.007822
                     14,                0.98314,                 1.7778,                 1.3708,                0.48544,                0.47442,                0.45475,                 0.3368,                0.95023,                 1.7732,                 1.4718,               0.007624,               0.007624,               0.007624
                     15,                0.97706,                  1.728,                 1.3631,                0.46083,                0.46976,                0.45627,                0.33933,                0.94626,                 1.7413,                 1.4544,               0.007426,               0.007426,               0.007426
                     16,                0.95647,                 1.6848,                 1.3505,                0.52579,                0.45752,                0.47508,                0.35439,                0.95331,                 1.6478,                 1.4568,               0.007228,               0.007228,               0.007228
                     17,                0.95132,                 1.6654,                   1.35,                0.55047,                0.48904,                0.50505,                0.37344,                0.96423,                 1.6303,                 1.4815,                0.00703,                0.00703,                0.00703
                     18,                0.94644,                 1.6344,                 1.3445,                0.53734,                0.50963,                0.51608,                0.38981,                0.92391,                 1.5673,                 1.4353,               0.006832,               0.006832,               0.006832
                     19,                 0.9406,                 1.6009,                 1.3399,                0.60493,                 0.4682,                0.51554,                0.39377,                0.90398,                 1.5767,                 1.4148,               0.006634,               0.006634,               0.006634
                     20,                0.93524,                 1.5634,                 1.3354,                0.53164,                0.54126,                0.54277,                0.41418,                0.88886,                 1.4774,                 1.3851,               0.006436,               0.006436,               0.006436
                     21,                0.92602,                   1.55,                  1.329,                0.56881,                0.53334,                0.54921,                0.42259,                 0.8625,                 1.4916,                  1.374,               0.006238,               0.006238,               0.006238
                     22,                0.93015,                 1.5255,                  1.328,                0.57002,                0.53777,                0.55087,                0.42666,                0.85484,                  1.461,                 1.3599,                0.00604,                0.00604,                0.00604
                     23,                0.90926,                 1.4878,                 1.3156,                0.63163,                0.51625,                0.56466,                0.43765,                0.84988,                 1.4477,                 1.3585,               0.005842,               0.005842,               0.005842
                     24,                0.90501,                 1.4733,                 1.3182,                0.58608,                0.55215,                0.57483,                0.44927,                0.83884,                 1.3749,                 1.3404,               0.005644,               0.005644,               0.005644
                     25,                0.89886,                 1.4417,                  1.313,                0.60652,                0.53352,                0.57915,                0.45023,                0.84581,                 1.3925,                 1.3571,               0.005446,               0.005446,               0.005446
                     26,                0.90736,                 1.4391,                 1.3104,                0.59403,                0.54399,                 0.5752,                0.45328,                0.81499,                 1.3998,                 1.3312,               0.005248,               0.005248,               0.005248
                     27,                0.89505,                  1.405,                 1.3049,                 0.6002,                0.57657,                0.59495,                0.47054,                0.81165,                  1.345,                 1.3245,                0.00505,                0.00505,                0.00505
                     28,                0.87984,                 1.3874,                 1.2978,                0.57669,                0.58051,                0.59461,                0.47269,                0.80024,                 1.3394,                 1.3084,               0.004852,               0.004852,               0.004852
                     29,                 0.8815,                 1.3656,                 1.2937,                 0.6208,                0.57018,                0.60121,                0.47493,                0.80434,                 1.3411,                 1.3205,               0.004654,               0.004654,               0.004654
                     30,                0.87161,                 1.3411,                 1.2886,                0.65181,                0.56304,                0.61358,                0.48795,                0.80038,                 1.2806,                 1.3147,               0.004456,               0.004456,               0.004456
                     31,                0.87104,                 1.3167,                 1.2858,                0.61278,                0.59386,                0.60973,                0.48618,                0.79688,                 1.2932,                 1.3116,               0.004258,               0.004258,               0.004258
                     32,                0.86288,                 1.3013,                 1.2799,                0.63235,                 0.5768,                0.61377,                0.49131,                0.79788,                 1.2956,                 1.3116,                0.00406,                0.00406,                0.00406
                     33,                0.86315,                 1.2953,                 1.2849,                 0.6274,                0.58878,                0.61654,                 0.4926,                0.78408,                  1.298,                 1.2935,               0.003862,               0.003862,               0.003862
                     34,                0.85581,                 1.2756,                 1.2784,                 0.5933,                0.61748,                0.61877,                0.49687,                0.77599,                 1.2756,                 1.2855,               0.003664,               0.003664,               0.003664
                     35,                0.85482,                  1.258,                 1.2741,                0.61887,                 0.6042,                0.62109,                0.49967,                0.77798,                 1.2618,                 1.2905,               0.003466,               0.003466,               0.003466
                     36,                0.85225,                 1.2359,                 1.2734,                0.62043,                0.61118,                0.62525,                0.50414,                0.77067,                 1.2633,                 1.2843,               0.003268,               0.003268,               0.003268
                     37,                 0.8483,                 1.2261,                 1.2701,                0.65307,                 0.5969,                 0.6304,                0.51021,                0.76657,                 1.2328,                 1.2792,                0.00307,                0.00307,                0.00307
                     38,                0.83918,                 1.2088,                 1.2697,                0.62149,                0.62176,                0.63382,                0.51438,                0.76498,                 1.2317,                 1.2795,               0.002872,               0.002872,               0.002872
                     39,                0.84035,                 1.1923,                 1.2605,                0.62596,                0.62453,                0.63816,                0.51885,                0.76178,                 1.2273,                 1.2775,               0.002674,               0.002674,               0.002674
                     40,                0.82995,                 1.1751,                 1.2583,                0.65444,                 0.6134,                0.64216,                0.52296,                0.76171,                 1.2214,                 1.2774,               0.002476,               0.002476,               0.002476
                     41,                0.72343,                0.81663,                 1.2298,                0.66251,                0.60588,                0.64309,                  0.527,                  0.746,                 1.2052,                 1.2598,               0.002278,               0.002278,               0.002278
                     42,                0.70705,                0.78017,                 1.2156,                0.67276,                0.61139,                0.64697,                0.53198,                0.73219,                 1.1899,                 1.2463,                0.00208,                0.00208,                0.00208
                     43,                0.69121,                0.74444,                 1.2032,                0.67095,                0.60861,                 0.6514,                0.53787,                0.72438,                 1.1729,                 1.2401,               0.001882,               0.001882,               0.001882
                     44,                0.68723,                0.71293,                 1.1998,                0.69717,                0.59635,                0.65224,                0.54059,                0.71795,                 1.1682,                 1.2348,               0.001684,               0.001684,               0.001684
                     45,                0.67625,                0.68598,                 1.1875,                0.72113,                0.58328,                0.65565,                0.54398,                0.71178,                 1.1631,                 1.2291,               0.001486,               0.001486,               0.001486
                     46,                0.67073,                0.67021,                  1.187,                0.66659,                0.62744,                0.65572,                0.54443,                0.71108,                 1.1602,                 1.2281,               0.001288,               0.001288,               0.001288
