                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96487,                 4.3967,                 1.4361,                0.50794,                0.14592,                0.09389,                0.05725,                 1.1968,                 4.0253,                 1.8468,              0.0033271,              0.0033271,              0.0033271
                      2,                 1.0788,                 3.4732,                 1.5082,                0.45493,                 0.1937,                0.15201,                0.09992,                 1.1625,                 2.8683,                 1.7181,              0.0065286,              0.0065286,              0.0065286
                      3,                 1.1672,                 3.3582,                 1.5748,                0.23025,                0.19416,                0.08006,                0.04503,                 1.4379,                 3.6619,                 2.1541,               0.009598,               0.009598,               0.009598
                      4,                 1.2487,                 3.2104,                  1.636,                0.36877,                0.17435,                 0.1042,                0.06429,                  1.361,                 3.3271,                 1.9497,               0.009406,               0.009406,               0.009406
                      5,                 1.1875,                 2.7613,                 1.5768,                0.27501,                0.28541,                0.17592,                0.11473,                 1.2304,                 2.7417,                 1.7847,               0.009406,               0.009406,               0.009406
                      6,                 1.1518,                 2.4713,                 1.5349,                0.37719,                 0.3076,                0.24241,                0.16791,                 1.1271,                   2.62,                 1.6729,               0.009208,               0.009208,               0.009208
                      7,                 1.1163,                 2.3178,                 1.5083,                0.43178,                  0.323,                0.27084,                0.18505,                 1.1557,                 2.3806,                 1.6812,                0.00901,                0.00901,                0.00901
                      8,                 1.0816,                 2.1785,                 1.4828,                0.34977,                 0.3523,                0.31433,                0.21809,                 1.0817,                 2.1837,                 1.5883,               0.008812,               0.008812,               0.008812
                      9,                 1.0529,                  2.063,                 1.4518,                0.37766,                0.37608,                 0.3301,                0.23502,                 1.0535,                  2.186,                 1.5767,               0.008614,               0.008614,               0.008614
                     10,                 1.0351,                 1.9871,                 1.4399,                0.39235,                0.42839,                0.36974,                0.26976,                 1.0178,                 2.0381,                 1.5402,               0.008416,               0.008416,               0.008416
                     11,                 1.0184,                 1.9091,                 1.4249,                0.50669,                 0.3976,                0.38481,                0.28311,                  1.015,                  2.024,                 1.5382,               0.008218,               0.008218,               0.008218
                     12,                 1.0179,                 1.8573,                 1.4195,                0.53194,                0.40504,                0.41204,                0.30555,                0.97686,                 1.8541,                  1.492,                0.00802,                0.00802,                0.00802
                     13,                0.99176,                 1.8014,                 1.4037,                0.44401,                 0.4464,                0.41642,                0.31212,                0.94552,                 1.8504,                 1.4684,               0.007822,               0.007822,               0.007822
                     14,                 0.9826,                 1.7636,                 1.3955,                0.47647,                 0.4514,                0.44209,                0.33575,                0.91922,                 1.7493,                 1.4446,               0.007624,               0.007624,               0.007624
                     15,                0.97145,                 1.7071,                 1.3819,                0.48874,                0.47785,                0.46338,                0.35033,                0.91134,                 1.7109,                  1.433,               0.007426,               0.007426,               0.007426
                     16,                0.96114,                 1.6599,                 1.3799,                0.55396,                0.46455,                0.49248,                0.37764,                0.88602,                 1.5898,                 1.4094,               0.007228,               0.007228,               0.007228
                     17,                 0.9477,                 1.6144,                 1.3709,                 0.4792,                0.53113,                 0.5184,                0.39768,                0.87851,                 1.5557,                 1.3867,                0.00703,                0.00703,                0.00703
                     18,                0.94381,                 1.5927,                 1.3609,                0.54329,                0.50225,                0.51645,                0.39881,                0.86172,                 1.5892,                  1.382,               0.006832,               0.006832,               0.006832
                     19,                 0.9351,                 1.5511,                 1.3526,                0.53762,                0.52307,                0.52645,                 0.4079,                0.86905,                  1.518,                 1.3859,               0.006634,               0.006634,               0.006634
                     20,                0.92246,                 1.5214,                 1.3466,                0.56291,                 0.5223,                0.54156,                0.41972,                0.85786,                  1.457,                 1.3811,               0.006436,               0.006436,               0.006436
                     21,                0.91478,                 1.4972,                 1.3386,                0.59386,                 0.5324,                0.54984,                0.42676,                0.84656,                 1.4734,                 1.3611,               0.006238,               0.006238,               0.006238
                     22,                0.90647,                 1.4741,                 1.3344,                0.54101,                0.54677,                0.56062,                0.43729,                0.84223,                 1.4389,                 1.3551,                0.00604,                0.00604,                0.00604
                     23,                0.90803,                 1.4371,                 1.3296,                0.56191,                0.54394,                0.56302,                 0.4431,                0.83243,                 1.3828,                 1.3432,               0.005842,               0.005842,               0.005842
                     24,                0.89134,                 1.4065,                 1.3241,                0.55902,                0.55549,                0.58349,                 0.4612,                0.81072,                 1.3949,                 1.3266,               0.005644,               0.005644,               0.005644
                     25,                0.88478,                  1.381,                 1.3158,                0.60141,                 0.5504,                0.58495,                0.46502,                0.80429,                 1.3408,                 1.3215,               0.005446,               0.005446,               0.005446
                     26,                0.87431,                 1.3624,                 1.3081,                0.62419,                0.54946,                0.59887,                0.47992,                 0.7845,                 1.3274,                 1.3026,               0.005248,               0.005248,               0.005248
                     27,                0.87655,                 1.3305,                 1.3063,                0.58181,                0.58406,                0.60031,                0.48052,                0.78238,                 1.3106,                 1.3056,                0.00505,                0.00505,                0.00505
                     28,                0.86993,                 1.3206,                 1.3038,                0.60214,                0.56789,                0.60996,                0.49207,                0.78259,                 1.3087,                 1.3023,               0.004852,               0.004852,               0.004852
                     29,                0.86642,                 1.3033,                 1.3018,                0.63217,                0.57543,                0.62201,                0.50095,                0.77122,                  1.262,                 1.2904,               0.004654,               0.004654,               0.004654
